id;uuid;first_name;last_name;gender;asma;rankId;rankName;specialtyId;specialtyName;mobileNumber;org;lattitude;longitude;absence1;absence2;absence3;absence4;absence5;absence6;absence7;absence8;absence9;absence10;absence11;absence12;absence13;absence14;absence15;absence16;absence17;absence18;absence19;absence20;absence21;absence22;absence23;absence24;absence25;absence26;absence27;absence28;absence29;absence30;absence31;dob;id_no;id_issue;id_expiration;passport;social_security;email;landline_no;street_address
1;79c495a4-e164-4f53-8737-2371d639c381;Λοϊζος;Αλεξίου;Άρρεν;7670;4;Υπσγός;1;Ι;99216732;360;34,98574184;32,94911992;4;10;4;2;9;7;4;0;1;5;6;2;5;6;3;10;4;7;8;4;3;5;3;1;7;5;4;6;6;2;7;09/10/1998;385574;2/2/14;12/12/23;61656;814293;dtice0@illinois.edu;26591868;817 Harper Terrace
2;2c8ebcd2-76d9-4175-86c3-143fa00ec51f;Προκόπιος;Πολεμίτης;Άρρεν;2741;10;Εσμίας;2;ΜΑ;99375792;350;34,64834419;32,83426951;;10;9;8;7;7;;;2;2;3;10;9;7;0;10;8;7;;8;0;10;10;10;4;9;3;7;5;10;6;27/04/1972;632335;21/12/11;29/10/21;11524;203717;moldfieldcherry1@lulu.com;22772178;76 Clemons Avenue
3;669abcf1-24f4-4f95-9217-80c8e92fa5f7;Ανδρέας;Αβερκίου;Άρρεν;6811;3;Σγός;2;ΜΑ;99519462;370;34,95328314;32,88465396;2;;5;;2;10;;;;;7;;;1;9;2;10;6;;8;10;9;6;3;4;6;10;10;7;4;10;28/08/1998;763452;12/1/19;20/11/28;89442;585904;mbrixham2@bloglovin.com;25764024;1354 Aberg Crossing
4;fdd54afd-b074-4504-a41f-965468201ce0;Λεωνίδας;Φκιαράς;Άρρεν;9252;2;Επγός;5;ΤΜΜ;99137382;360;34,64834419;32,87970231;9;3;;10;;0;;;;;8;4;10;;1;;;;10;;6;;7;;3;7;5;9;9;2;;11/03/1983;248497;19/7/16;28/5/26;77534;816230;jdrinkale3@umich.edu;26126325;3 Merchant Avenue
5;5d91893d-10ba-4c06-91a3-299a94f471ba;Δημήτριος;Δημητριάδης;Άρρεν;4090;4;Υπσγός;8;ΥΠΛ;99279225;350;35,15295542;33,06336346;6;0;9;9;;10;0;8;;;0;0;5;8;;;;;;5;0;;6;3;0;6;8;1;7;0;5;05/12/1993;353794;5/5/18;13/3/28;81225;831584;apetrasso4@google.es;25161471;68 Vahlen Plaza
6;174992f6-e8f3-4377-93ee-93f2f9ac23b4;Γεωργία;Αλεξάνδρου;Θήλυ;6579;9;Ασμίας;7;ΤΟΠ;99857679;360;34,79605019;33,0680323;7;2;10;0;9;1;7;5;;;6;5;8;8;2;9;7;3;0;4;7;8;5;;;;;;10;1;1;10/05/1989;585234;18/9/14;27/7/24;79749;309062;jgirodin5@fema.gov;22684757;82 Forster Center
7;8ce438f0-3577-4603-8bbb-5f96ad3fbdd0;Νεόφυτος;Χαραλάμπους;Άρρεν;5836;8;Ανθ. Γ';4;ΜΑΕ;99914780;350;35,12113543;33,11530617;1;4;6;3;5;;10;2;7;3;9;0;3;4;4;10;10;0;;;7;7;9;5;6;7;;;4;1;;28/06/1977;442619;24/3/15;30/1/25;95972;523883;kjahan6@yahoo.com;26748553;422 Mendota Parkway
8;bcc43bac-b6e9-4ed1-a66a-f25a81783c3d;Γαβριήλ;Λαζάρου;Άρρεν;9966;6;Ανθ. Α';6;ΤΤΗ;99297069;360;35,02999335;33,0193813;;;3;8;6;3;10;3;7;2;10;5;8;3;;7;;5;9;1;4;;0;0;5;5;7;3;;2;3;04/05/1975;160161;25/12/11;2/11/21;92504;783552;vsprankling7@hostgator.com;25403771;873 Express Hill
9;3b726204-85a8-4143-84ad-60ce40004174;Ειρήνη;Αλεξίου;Θήλυ;2661;4;Υπσγός;6;ΤΤΗ;99554509;350;34,78103209;32,82896527;;;9;5;9;7;10;1;0;4;4;;6;7;3;10;10;9;;10;;10;2;8;8;2;4;5;8;8;6;26/04/1973;382841;27/9/19;5/8/29;81262;938809;mmohan8@salon.com;24217950;49225 Bonner Point
10;7671ba71-6c6e-4d88-bfe5-b5a4139c2c85;Σεραφείμ;Πετρίδης;Άρρεν;3732;5;Ανθσγός;2;ΜΑ;99789568;370;34,73954657;32,82831539;;;10;1;2;3;5;5;4;2;3;4;2;3;2;8;;8;5;1;4;4;1;6;1;3;5;4;2;7;5;05/09/1973;948592;5/4/11;11/2/21;16504;418699;lwilne9@china.com.cn;22858423;88 Dorton Alley
11;daa9121f-6617-4f47-ac45-b2091a9d809f;Ευάγγελος;Πέτρου;Άρρεν;6802;8;Ανθ. Γ';10;ΕΑ;99657346;350;34,78419628;33,18092016;8;6;2;6;6;8;5;;;2;8;1;8;3;3;2;3;2;6;0;2;10;;;;;10;2;7;1;3;27/10/1972;713194;23/11/16;2/10/26;73704;781016;djanewa@live.com;25556034;55 Sachtjen Hill
12;f2135a9b-5fe5-4dc3-8702-c8f66d65a910;Γαβριήλ;Χατζηνικολάου;Άρρεν;9250;3;Σγός;8;ΥΠΛ;99965952;350;35,03438488;33,2419755;8;6;7;9;3;6;10;8;9;10;5;3;7;7;1;0;10;3;3;5;3;;;;;;1;1;7;10;10;24/04/1996;401432;13/10/17;22/8/27;20809;760892;mseekingsb@bbc.co.uk;26402466;1341 Meadow Vale Street
13;4e4084b4-8f31-47a1-bbac-aaf8c4f9b9d1;Σίμος;Βανέζη;Άρρεν;4050;9;Ασμίας;10;ΕΑ;99950742;360;34,98574184;32,81385837;1;4;;;4;10;8;3;9;8;6;7;3;;;;3;5;;2;3;5;;;;;7;1;5;6;1;24/12/1989;323838;16/9/15;25/7/25;70981;513227;cnellc@edublogs.org;26175734;81 Brickson Park Alley
14;e7fa8620-1905-4649-9d4b-9e1e84881cbb;Θεοχάρης;Παρασκευά;Άρρεν;1163;3;Σγός;2;ΜΑ;99114860;360;34,88545259;33,20336725;4;5;;;6;6;2;8;0;2;10;0;10;;;;6;7;5;2;1;4;3;0;0;9;2;;5;;0;10/11/1992;122880;25/11/14;3/10/24;19208;717699;hblagburnd@ftc.gov;23475120;04341 Grayhawk Trail
15;f7f7853f-4534-4494-bb81-b1628eb9433a;Ορέστης;Μυριάνθους;Άρρεν;6137;8;Ανθ. Γ';12;ΤΜΣ;99912235;350;34,75309077;33,08073373;4;7;;;10;;3;2;10;3;0;8;3;;;;;5;1;1;;9;3;9;5;5;7;1;2;3;;12/03/1979;859980;7/11/15;15/9/25;13563;369452;fmcowene@japanpost.jp;24638932;9 Anderson Park
16;2895e168-64ba-4344-9db2-eddb0f2e3796;Νικόλαος;Καμέρης;Άρρεν;5785;5;Ανθσγός;9;ΣΛ;99363757;350;34,70555806;32,97040213;6;2;;;9;4;7;7;;5;7;8;0;6;10;2;8;3;4;1;7;4;0;9;8;1;5;1;8;6;2;22/07/1977;529020;20/1/18;29/11/27;29570;657808;rsallisf@census.gov;24526108;1 Oxford Street
17;8699f2c2-a599-48a2-9e0f-4c96b4240699;Ιωάννης;Μαυρομμάτης;Άρρεν;4862;3;Σγός;10;ΕΑ;99197353;360;35,11618344;33,19494767;8;10;;;8;5;3;;5;;10;;2;4;1;2;2;1;4;5;1;9;1;10;6;8;;4;4;8;10;10/12/1980;602554;6/11/18;14/9/28;63107;924071;fmanueaug@japanpost.jp;24313175;24 School Lane
